Motion Sensor Data File Sep 17, 2020 3:37 PM
Time (s)	Distance (cm)	Dist Error (cm)
16.933	31.628	0.239
16.950	31.747	0.239
16.967	31.755	0.239
16.983	31.653	0.239
17.000	31.436	0.239
17.017	31.113	0.239
17.033	30.695	0.239
17.050	30.172	0.239
17.067	29.563	0.239
17.083	28.878	0.239
17.100	28.129	0.239
17.117	27.324	0.239
17.133	26.485	0.239
17.150	25.651	0.239
17.167	24.808	0.239
17.183	23.991	0.239
17.200	23.387	0.239
17.217	22.650	0.239
17.233	22.143	0.239
17.250	21.598	0.239
17.267	21.083	0.239
17.283	20.615	0.239
17.300	20.202	0.239
17.317	19.802	0.239
17.333	19.674	0.239
17.350	19.483	0.239
17.367	19.589	0.239
17.383	19.823	0.239
17.400	20.176	0.239
17.417	20.657	0.239
17.433	21.193	0.239
17.450	21.797	0.239
17.467	22.465	0.239
17.483	23.197	0.239
17.500	23.971	0.239
17.517	24.776	0.239
17.533	25.602	0.239
17.550	26.423	0.239
17.567	27.231	0.239
17.583	28.006	0.239
17.600	28.742	0.239
17.617	29.418	0.239
17.633	30.018	0.239
17.650	30.542	0.239
17.667	30.971	0.239
17.683	31.308	0.239
17.700	31.533	0.239
17.717	31.652	0.239
17.733	31.661	0.239
17.750	31.554	0.239
17.767	31.341	0.239
17.783	31.034	0.239
17.800	30.588	0.239
17.817	30.038	0.239
17.833	29.387	0.239
17.850	28.868	0.239
17.867	28.395	0.239
17.883	27.693	0.239
17.900	26.880	0.239
17.917	26.075	0.239
17.933	25.568	0.239
17.950	24.819	0.239
17.967	24.070	0.239
17.983	23.351	0.239
18.000	22.674	0.239
18.017	22.044	0.239
18.033	21.316	0.239
18.050	20.716	0.239
18.067	20.286	0.239
18.083	20.052	0.239
18.100	19.945	0.239
18.117	19.975	0.239
18.133	20.222	0.239
18.150	20.681	0.239
18.167	21.136	0.239
18.183	21.587	0.239
18.200	22.098	0.239
18.217	22.660	0.239
18.233	23.175	0.239
18.250	23.711	0.239
18.267	24.498	0.239
18.283	25.268	0.239
18.300	25.830	0.239
18.317	26.455	0.239
18.333	27.268	0.239
18.350	28.060	0.239
18.367	28.808	0.239
18.383	29.502	0.239
18.400	30.110	0.239
18.417	30.617	0.239
18.433	31.043	0.239
18.450	31.349	0.239
18.467	31.549	0.239
18.483	31.651	0.239
18.500	31.629	0.239
18.517	31.497	0.239
18.533	31.263	0.239
18.550	30.914	0.239
18.567	30.479	0.239
18.583	29.947	0.239
18.600	29.343	0.239
18.617	28.662	0.239
18.633	27.934	0.239
18.650	27.164	0.239
18.667	26.363	0.239
18.683	25.554	0.239
18.700	24.746	0.239
18.717	23.950	0.239
18.733	23.192	0.239
18.750	22.477	0.239
18.767	21.813	0.239
18.783	21.208	0.239
18.800	20.659	0.239
18.817	20.225	0.239
18.833	19.897	0.239
18.850	19.688	0.239
18.867	19.612	0.239
18.883	19.799	0.239
18.900	20.033	0.239
18.917	20.390	0.239
18.933	20.794	0.239
18.950	21.249	0.239
18.967	21.790	0.239
18.983	22.403	0.239
19.000	23.084	0.239
19.017	23.816	0.239
19.033	24.590	0.239
19.050	25.399	0.239
19.067	26.211	0.239
