x-axis,NO_LBL,2
second,Volt,Volt
-3.600000E-06,-1.537303115474E+00,-180.033331585E-03
-3.595000E-06,-1.542701190163E+00,-199.062798206E-03
-3.590000E-06,-1.540051419494E+00,-169.571290936E-03
-3.585000E-06,-1.541636773636E+00,-194.297282006E-03
-3.580000E-06,-1.539947835083E+00,-164.358582587E-03
-3.575000E-06,-1.530616492922E+00,-183.384822561E-03
-3.570000E-06,-1.537318871763E+00,-169.128999069E-03
-3.565000E-06,-1.536088373389E+00,-171.589407783E-03
-3.560000E-06,-1.541887743437E+00,-171.387320175E-03
-3.555000E-06,-1.532462165094E+00,-155.739123164E-03
-3.550000E-06,-1.532418590283E+00,-172.478484699E-03
-3.545000E-06,-1.536727897817E+00,-151.468927415E-03
-3.540000E-06,-1.534021962383E+00,-172.374402721E-03
-3.535000E-06,-1.542088504200E+00,-147.810030473E-03
-3.530000E-06,-1.539453132820E+00,-164.423854336E-03
-3.525000E-06,-1.535953201009E+00,-146.893873848E-03
-3.520000E-06,-1.534537095050E+00,-151.525740525E-03
-3.515000E-06,-1.538759403740E+00,-156.564571810E-03
-3.510000E-06,-1.529874137972E+00,-141.840869441E-03
-3.505000E-06,-1.544553948896E+00,-160.320238003E-03
-3.500000E-06,-1.533147902945E+00,-134.485350928E-03
-3.495000E-06,-1.535257436428E+00,-160.874226132E-03
-3.490000E-06,-1.535826698358E+00,-132.112272769E-03
-3.485000E-06,-1.538388339349E+00,-153.971161917E-03
-3.480000E-06,-1.537511792076E+00,-134.668546067E-03
-3.475000E-06,-1.528827060903E+00,-142.268988187E-03
-3.470000E-06,-1.537827445592E+00,-139.797271131E-03
-3.465000E-06,-1.529487769624E+00,-125.939848061E-03
-3.460000E-06,-1.533211983549E+00,-141.929195130E-03
-3.455000E-06,-1.529989181503E+00,-120.532983021E-03
-3.450000E-06,-1.534633065178E+00,-139.268598609E-03
-3.445000E-06,-1.535213183117E+00,-115.814569834E-03
-3.440000E-06,-1.529471787168E+00,-133.072848561E-03
-3.435000E-06,-1.533724779159E+00,-117.401853933E-03
-3.430000E-06,-1.529479476840E+00,-123.270958756E-03
-3.425000E-06,-1.533547841303E+00,-122.890923080E-03
-3.420000E-06,-1.535022750640E+00,-114.530168363E-03
-3.415000E-06,-1.536772829628E+00,-126.605125353E-03
-3.410000E-06,-1.536169491895E+00,-105.062236510E-03
-3.405000E-06,-1.538885680225E+00,-126.792662894E-03
-3.400000E-06,-1.535398036812E+00,-103.468453884E-03
